10 10
1335 0.0 27667 23946;1335 0.0 27667 142779;1335 0.26 31268 45612;1335 0.26 31268 160844;1335 0.0 34869 63677;1335 0.0 34869 182510;1335 0.0 34869 85343;1335 0.7 38470 200575;1335 0.7 38470 103408;1335 0.0 42071 6241;
1335 0.0 27667 106709;1335 0.0 31268 9542;1335 0.26 31268 124774;1335 0.26 34869 27607;1335 0.0 34869 146440;1335 0.0 34869 49273;1335 0.0 38470 164505;1335 0.7 38470 67338;1335 0.7 42071 186171;1335 0.0 42071 89004;
1335 2.13 31268 185871;1335 2.13 31268 88704;1335 2.24 31268 207537;1335 2.48 34869 110370;1335 2.31 34869 13203;1335 2.31 38470 128435;1335 2.31 38470 31268;1335 2.77 42071 150101;1335 2.14 42071 52934;1335 1.83 45672 168166;
1335 2.13 31268 52634;1335 2.13 31268 171467;1335 2.26 34869 74300;1335 2.26 34869 193133;1335 2.31 38470 92365;1335 2.31 38470 211198;1335 2.31 42071 114031;1335 2.18 42071 16864;1335 2.18 45672 132096;1335 1.83 45672 34929;
1335 0.0 31268 135397;1335 0.0 34869 38230;1335 0.08 34869 157063;1335 0.08 38470 56295;1335 0.0 38470 175128;1335 0.0 42071 77961;1335 0.0 42071 196794;1335 0.21 42071 96026;1335 0.21 45672 214859;1335 0.0 45672 117692;
1335 0.0 34869 2160;1335 0.0 34869 120993;1335 0.08 38470 20225;1335 0.08 38470 139058;1335 0.0 42071 41891;1335 0.0 42071 160724;1335 0.0 42071 59956;1335 0.21 45672 178789;1335 0.21 45672 81622;1335 0.0 49273 200455;
1335 0.0 34869 81322;1335 0.0 38470 200155;1335 0.08 38470 102988;1335 0.08 38470 5821;1335 0.0 42071 124654;1335 0.0 42071 23886;1335 0.0 45672 142719;1335 0.21 45672 45552;1335 0.21 49273 164385;1335 0.0 49273 63617;
1335 2.05 38470 164085;1335 2.05 38470 66918;1335 2.1 38470 185751;1335 2.19 42071 88584;1335 2.17 42071 203816;1335 2.17 45672 106649;1335 2.17 45672 9482;1335 2.29 49273 128315;1335 2.08 49273 31148;1335 1.98 52874 146380;
1334 2.05 38470 30848;1334 2.05 38470 149681;1334 2.1 42071 52514;1334 2.16 42071 167746;1334 2.17 45672 70579;1334 2.17 45672 189412;1334 2.17 49273 92245;1334 2.11 49273 211078;1334 2.06 49273 110310;1334 1.98 52874 13143;
1334 0.0 38470 113611;1334 0.0 42071 16444;1334 0.04 42071 131676;1334 0.04 45672 34509;1334 0.0 45672 153342;1334 0.0 49273 56175;1334 0.0 49273 175008;1334 0.02 49273 74240;1334 0.02 52874 193073;1334 0.0 52874 95906;
87868 92226 28287 0 55620 71900 
