10 10
-2644 3.19 117872 143139;-2644 7.8 117872 85523;-2646 5.52 121473 27907;-2646 3.08 121473 186291;-2646 3.08 121473 128675;-2646 3.08 125074 71059;-2646 7.83 125074 13443;-2647 5.62 125074 171827;-2647 2.89 128675 114211;-2647 2.89 128675 52994;
-2645 3.19 117872 103528;-2645 5.52 117872 45912;-2646 7.66 117872 204296;-2646 3.08 121473 146680;-2646 3.08 121473 89064;-2646 3.08 121473 27847;-2646 5.61 125074 186231;-2648 7.6 125074 128615;-2648 2.89 125074 70999;-2648 2.89 128675 13383;
-2645 0.0 114271 63917;-2645 4.82 114271 2700;-2646 4.82 117872 161084;-2646 0.0 117872 103468;-2646 0.0 117872 45852;-2646 0.0 121473 204236;-2646 4.91 121473 146620;-2648 4.91 121473 89004;-2648 0.0 125074 31388;-2648 0.0 125074 189772;
-2645 0.0 114271 20705;-2645 4.82 114271 179089;-2646 4.82 114271 121473;-2646 0.0 117872 63857;-2646 0.0 117872 6241;-2646 0.0 117872 164625;-2646 4.91 121473 107009;-2648 4.91 121473 45792;-2648 0.0 121473 204176;-2648 0.0 125074 146560;
-2645 0.0 110670 197094;-2645 4.82 110670 139478;-2646 4.82 114271 81862;-2646 0.0 114271 20645;-2646 0.0 114271 179029;-2646 0.0 117872 121413;-2646 4.91 117872 63797;-2648 4.91 117872 6181;-2648 0.0 121473 164565;-2648 0.0 121473 106949;
-2645 3.17 110610 153882;-2645 7.68 110610 96266;-2646 5.44 110670 38650;-2646 3.11 114271 197034;-2646 3.11 114271 139418;-2646 3.11 114271 81802;-2646 7.75 117872 24186;-2648 5.56 117872 182570;-2648 3.13 117872 124954;-2648 3.13 121473 63737;
-2646 3.17 107009 114271;-2646 5.44 107009 56655;-2647 7.62 110610 215039;-2647 3.11 110670 157423;-2647 3.11 110670 99807;-2647 3.11 114271 38590;-2647 5.56 114271 196974;-2648 7.77 114271 139358;-2648 3.13 117872 81742;-2648 3.13 117872 24126;
-2646 0.0 107009 74660;-2646 4.76 107009 17044;-2647 4.76 107009 171827;-2647 0.0 110610 114211;-2647 0.0 110610 56595;-2647 0.0 110670 214979;-2647 4.93 114271 157363;-2648 4.93 114271 99747;-2648 0.0 114271 42131;-2648 0.0 117872 200515;
-2646 0.0 103408 31448;-2646 4.76 103408 189832;-2647 4.76 107009 132216;-2647 0.0 107009 74600;-2647 0.0 107009 16984;-2647 0.0 110610 175368;-2647 4.93 110670 117752;-2648 4.93 114271 56535;-2648 0.0 114271 214919;-2648 0.0 114271 157303;
-2646 0.0 103408 207837;-2646 4.76 103408 150221;-2647 4.76 103408 92605;-2647 0.0 107009 34989;-2647 0.0 107009 189772;-2647 0.0 107009 132156;-2647 4.93 110610 74540;-2648 4.93 110670 16924;-2648 0.0 110670 175308;-2648 0.0 114271 117692;
131049 135662 71222 71894 22967 0 
