10 10
-654 0.0 14644 49213;-654 0.0 18245 63617;-654 0.0 21846 78021;-654 2.55 21846 92425;-654 2.55 25447 110430;-654 0.0 25447 124834;-654 0.0 29048 139238;-654 0.0 29048 153642;-654 2.12 32649 168046;-655 2.12 32649 186051;
-654 0.0 18245 9602;-654 0.0 18245 27607;-654 0.0 21846 42011;-654 2.55 21846 56415;-654 2.55 25447 70819;-654 0.0 25447 85223;-654 0.0 29048 103228;-654 0.0 32649 117632;-654 2.12 32649 132036;-655 2.12 36250 146440;
-654 2.73 18245 189592;-654 2.73 18245 203996;-654 2.73 21846 6001;-654 5.06 25447 20405;-654 3.22 25447 34809;-654 2.63 29048 49213;-654 2.63 29048 63617;-654 2.63 32649 81622;-654 4.65 32649 96026;-655 3.19 36250 110430;
-654 2.73 18245 153582;-654 2.73 21846 167986;-654 2.73 21846 182390;-654 3.22 25447 200395;-655 4.94 25447 214799;-655 2.63 29048 13203;-655 2.63 29048 27607;-655 2.63 32649 42011;-655 3.18 36250 60016;-656 4.86 36250 74420;
-654 0.0 18245 117572;-654 0.0 21846 131976;-654 0.0 21846 146380;-654 2.45 25447 160784;-655 2.45 29048 175188;-655 0.0 29048 193193;-655 0.0 32649 207597;-655 0.0 32649 6001;-655 2.3 36250 20405;-656 2.3 36250 38410;
-654 0.0 21846 77961;-654 0.0 21846 95966;-654 0.0 25447 110370;-654 2.45 25447 124774;-655 2.45 29048 139178;-655 0.0 29048 153582;-655 0.0 32649 171587;-655 0.0 32649 185991;-655 2.3 36250 200395;-656 2.3 39851 214799;
-654 0.0 21846 41951;-654 0.0 21846 56355;-654 0.0 25447 74360;-654 2.45 25447 88764;-655 2.45 29048 103168;-655 0.0 32649 117572;-655 0.0 32649 131976;-655 0.0 36250 149981;-655 2.3 36250 164385;-656 2.3 39851 178789;
-654 2.74 21846 5941;-654 2.74 25447 20345;-654 2.74 25447 34749;-654 5.0 29048 49153;-655 3.26 29048 67158;-655 2.73 32649 81562;-655 2.73 32649 95966;-655 2.73 36250 110370;-655 4.89 36250 128375;-656 3.28 39851 142779;
-655 2.74 21846 185931;-655 2.74 25447 200335;-655 2.74 25447 214739;-655 3.26 29048 13143;-656 5.0 29048 27547;-656 2.73 32649 45552;-656 2.73 36250 59956;-656 2.73 36250 74360;-656 3.28 39851 88764;-656 5.0 39851 106769;
-655 0.0 21846 146320;-655 0.0 25447 164325;-655 0.0 29048 178729;-655 2.44 29048 193133;-656 2.44 32649 207537;-656 0.0 32649 5941;-656 0.0 36250 23946;-656 0.0 36250 38350;-656 2.39 39851 52754;-656 2.39 39851 67158;
24658 0 63932 92226 112503 135662 
